clave_municipio,entidad,mpio,gdp_tourism,gdp_toursim_ss,numero_hospitales,poblacion_2022,popnoafmed2015,gini2015,popden2020,crimen_2018,crimen_2019,inclusion_fin_2019,porcentaje_pob_pobreza,porcentaje_pob_servicios_salud,pob_6-14_no_edu,rezago_social,grado_rs
12065,Guerrero,Tlalixtaquilla de Maldonado,,,4,7626,13.906,0.395,22.932,13.33,0,0,77.86,19.13,5.52,0.76,Medio
12066,Guerrero,Tlapa de Comonfort,,,75,93574,14.929,0.478,91.2,30.76,48.34,0.77,71.77,29.76,7.34,0.5,Medio
12067,Guerrero,Tlapehuala,,,24,22706,24.26,0.4,83.273,8.84,4.41,0,68.55,53.26,4.79,-0.03,Bajo
12068,Guerrero,La Union de Isidoro Montes de Oca,,,10,26968,19.457,0.389,23.073,60.84,30.36,0.53,43.5,24.56,6.7,0,Bajo
12069,Guerrero,Xalpatlahuac,,,2,12255,10.6,0.394,30.401,16.51,24.68,0,93.21,12.78,8.96,2.06,Muy alto
12070,Guerrero,Xochihuehuetlan,,,4,7398,3.972,0.399,41.033,27.7,41.47,0,74.65,10.74,3.47,0.24,Medio
12071,Guerrero,Xochistlahuaca,,,13,30222,10.271,0.379,93.089,23.12,26.26,0,87.48,11.87,10.7,2.34,Muy alto
12072,Guerrero,Zapotitlan Tablas,,,3,12587,3.538,0.404,14.623,36.26,54.09,0,91.37,5.81,8.19,2.48,Muy alto
12073,Guerrero,Zirandaro,,,8,18228,37.015,0.396,7.283,33.29,33.36,0,71.5,53.12,16.77,0.8,Medio
12074,Guerrero,Zitlala,,,4,23871,9.929,0.376,71.308,45.05,24.43,0,89.24,21.65,7.75,1.72,Alto
12075,Guerrero,Eduardo Neri,,,41,52924,13.696,0.447,41.228,58.72,42.81,0.28,65.59,33.14,5.83,0.1,Bajo
12076,Guerrero,Acatepec,,,7,38738,7.531,0.373,67.107,8.51,36.58,0,96.03,7.77,4.39,3.2,Muy alto
12077,Guerrero,Marquelia,,,15,14269,15.696,0.411,67.716,58.18,43.45,1.02,59.71,40.27,4.11,0.28,Medio
12078,Guerrero,Cochoapa el Grande,,,2,19337,14.319,0.49,34.131,19.85,54.2,0.77,99.44,17.36,22.25,5,Muy alto
12079,Guerrero,Jose Joaquin de Herrera,,,2,17905,10.203,0.352,137.777,73.95,67.43,0,94.97,15.12,7.82,2.99,Muy alto
12080,Guerrero,Juchitan,,,3,7924,19.681,0.386,29.73,0,91.21,0,65.73,23.65,6.05,0.76,Medio
